영업일자,영업장명,상품명,할인구분여부,판매수량
2024-01-01,리프트,3시간권(대인),N,7
2024-01-01,리프트,3시간권(대인),Y,334
2024-01-01,리프트,3시간권(소인),Y,107
2024-01-01,리프트,4시간권(대인),N,9
2024-01-01,리프트,4시간권(대인),Y,331
2024-01-01,리프트,4시간권(소인),N,2
2024-01-01,리프트,4시간권(소인),Y,104
2024-01-01,리프트,5시간권(대인),N,3
2024-01-01,리프트,5시간권(대인),Y,143
2024-01-01,리프트,5시간권(소인),N,2
2024-01-01,리프트,5시간권(소인),Y,35
2024-01-01,리프트,7시간권(대인),Y,354
2024-01-01,리프트,7시간권(소인),N,2
2024-01-01,리프트,7시간권(소인),Y,61
2024-01-01,리프트,L.연일권 2일 ,Y,15
2024-01-01,리프트,L.연일권 3일 ,Y,11
2024-01-01,리프트,L.연일권 4일 ,Y,2
2024-01-01,리프트,종일권(대인),N,2
2024-01-01,리프트,종일권(대인),Y,269
2024-01-01,리프트,종일권(소인),N,2
2024-01-01,리프트,종일권(소인),Y,43
2024-01-01,시즌티켓,X5 시즌패스 1차,N,43
2024-01-01,시즌티켓,X5 시즌패스 2차,N,25
2024-01-01,시즌티켓,X5 시즌패스 3차(현장),N,33
2024-01-02,리프트,3시간권(대인),N,2
2024-01-02,리프트,3시간권(대인),Y,240
2024-01-02,리프트,3시간권(소인),Y,67
2024-01-02,리프트,4시간권(대인),N,4
2024-01-02,리프트,4시간권(대인),Y,203
2024-01-02,리프트,4시간권(소인),N,1
2024-01-02,리프트,4시간권(소인),Y,48
2024-01-02,리프트,5시간권(대인),N,1
2024-01-02,리프트,5시간권(대인),Y,124
2024-01-02,리프트,5시간권(소인),N,1
2024-01-02,리프트,5시간권(소인),Y,16
2024-01-02,리프트,7시간권(대인),N,4
2024-01-02,리프트,7시간권(대인),Y,270
2024-01-02,리프트,7시간권(소인),Y,54
2024-01-02,리프트,L.연일권 2일 ,Y,145
2024-01-02,리프트,L.연일권 3일 ,Y,152
2024-01-02,리프트,L.연일권 4일 ,Y,114
2024-01-02,리프트,L.인바운드 2일,N,7
2024-01-02,리프트,L.인바운드 3일,N,9
2024-01-02,리프트,L.인바운드 4일,Y,74
2024-01-02,리프트,리프트CL,N,2
2024-01-02,리프트,종일권(대인),N,5
2024-01-02,리프트,종일권(대인),Y,266
2024-01-02,리프트,종일권(소인),Y,19
2024-01-02,시즌티켓,X5 시즌패스 1차,N,18
2024-01-02,시즌티켓,X5 시즌패스 2차,N,12
2024-01-02,시즌티켓,X5 시즌패스 3차(현장),N,41
2024-01-03,리프트,3시간권(대인),N,5
2024-01-03,리프트,3시간권(대인),Y,171
2024-01-03,리프트,3시간권(소인),N,2
2024-01-03,리프트,3시간권(소인),Y,49
2024-01-03,리프트,4시간권(대인),N,2
2024-01-03,리프트,4시간권(대인),Y,240
2024-01-03,리프트,4시간권(소인),Y,36
2024-01-03,리프트,5시간권(대인),Y,97
2024-01-03,리프트,5시간권(소인),Y,17
2024-01-03,리프트,7시간권(대인),N,2
2024-01-03,리프트,7시간권(대인),Y,353
2024-01-03,리프트,7시간권(소인),Y,42
2024-01-03,리프트,L.연일권 2일 ,Y,75
2024-01-03,리프트,L.연일권 3일 ,Y,189
2024-01-03,리프트,L.인바운드 2일,N,2
2024-01-03,리프트,종일권(대인),Y,264
2024-01-03,리프트,종일권(소인),N,1
2024-01-03,리프트,종일권(소인),Y,34
2024-01-03,시즌티켓,X5 시즌패스 1차,N,13
2024-01-03,시즌티켓,X5 시즌패스 2차,N,4
2024-01-03,시즌티켓,X5 시즌패스 3차(현장),N,31
2024-01-04,리프트,3시간권(대인),N,5
2024-01-04,리프트,3시간권(대인),Y,177
2024-01-04,리프트,3시간권(소인),N,8
2024-01-04,리프트,3시간권(소인),Y,56
2024-01-04,리프트,4시간권(대인),N,3
2024-01-04,리프트,4시간권(대인),Y,163
2024-01-04,리프트,4시간권(소인),Y,32
2024-01-04,리프트,5시간권(대인),Y,111
2024-01-04,리프트,5시간권(소인),Y,36
2024-01-04,리프트,7시간권(대인),N,2
2024-01-04,리프트,7시간권(대인),Y,313
2024-01-04,리프트,7시간권(소인),Y,53
2024-01-04,리프트,L.연일권 2일 ,Y,48
2024-01-04,리프트,L.연일권 3일 ,Y,7
2024-01-04,리프트,L.연일권 5일 ,Y,2
2024-01-04,리프트,L.인바운드 2일,N,2
2024-01-04,리프트,L.인바운드 3일,Y,2
2024-01-04,리프트,L.인바운드 4일,Y,13
2024-01-04,리프트,종일권(대인),N,1
2024-01-04,리프트,종일권(대인),Y,256
2024-01-04,리프트,종일권(소인),Y,19
2024-01-04,시즌티켓,X5 시즌패스 1차,N,10
2024-01-04,시즌티켓,X5 시즌패스 2차,N,6
2024-01-04,시즌티켓,X5 시즌패스 3차(현장),N,22
2024-01-05,리프트,3시간권(대인),N,5
2024-01-05,리프트,3시간권(대인),Y,327
2024-01-05,리프트,3시간권(소인),N,6
2024-01-05,리프트,3시간권(소인),Y,88
2024-01-05,리프트,4시간권(대인),Y,302
2024-01-05,리프트,4시간권(소인),Y,53
2024-01-05,리프트,5시간권(대인),Y,127
2024-01-05,리프트,5시간권(소인),Y,29
2024-01-05,리프트,7시간권(대인),Y,347
2024-01-05,리프트,7시간권(소인),Y,56
2024-01-05,리프트,L.연일권 2일 ,Y,31
2024-01-05,리프트,L.연일권 3일 ,Y,50
2024-01-05,리프트,리프트CL,N,5
2024-01-05,리프트,종일권(대인),N,1
2024-01-05,리프트,종일권(대인),Y,343
2024-01-05,리프트,종일권(소인),Y,48
2024-01-05,시즌티켓,X5 시즌패스 1차,N,20
2024-01-05,시즌티켓,X5 시즌패스 2차,N,15
2024-01-05,시즌티켓,X5 시즌패스 3차(현장),N,26
2024-01-06,리프트,3시간권(대인),N,6
2024-01-06,리프트,3시간권(대인),Y,368
2024-01-06,리프트,3시간권(소인),N,8
2024-01-06,리프트,3시간권(소인),Y,129
2024-01-06,리프트,4시간권(대인),N,6
2024-01-06,리프트,4시간권(대인),Y,666
2024-01-06,리프트,4시간권(소인),N,2
2024-01-06,리프트,4시간권(소인),Y,132
2024-01-06,리프트,5시간권(대인),N,2
2024-01-06,리프트,5시간권(대인),Y,486
2024-01-06,리프트,5시간권(소인),N,2
2024-01-06,리프트,5시간권(소인),Y,70
2024-01-06,리프트,7시간권(대인),N,5
2024-01-06,리프트,7시간권(대인),Y,972
2024-01-06,리프트,7시간권(소인),Y,104
2024-01-06,리프트,L.연일권 2일 ,Y,292
2024-01-06,리프트,L.연일권 3일 ,Y,18
2024-01-06,리프트,종일권(대인),Y,1012
2024-01-06,리프트,종일권(소인),Y,108
2024-01-06,시즌티켓,X5 시즌패스 1차,N,49
2024-01-06,시즌티켓,X5 시즌패스 2차,N,26
2024-01-06,시즌티켓,X5 시즌패스 3차(현장),N,60
2024-01-07,리프트,3시간권(대인),N,2
2024-01-07,리프트,3시간권(대인),Y,387
2024-01-07,리프트,3시간권(소인),N,1
2024-01-07,리프트,3시간권(소인),Y,150
2024-01-07,리프트,4시간권(대인),N,5
2024-01-07,리프트,4시간권(대인),Y,445
2024-01-07,리프트,4시간권(소인),N,1
2024-01-07,리프트,4시간권(소인),Y,114
2024-01-07,리프트,5시간권(대인),Y,207
2024-01-07,리프트,5시간권(소인),N,2
2024-01-07,리프트,5시간권(소인),Y,54
2024-01-07,리프트,7시간권(대인),N,4
2024-01-07,리프트,7시간권(대인),Y,448
2024-01-07,리프트,7시간권(소인),N,1
2024-01-07,리프트,7시간권(소인),Y,67
2024-01-07,리프트,L.연일권 2일 ,Y,99
2024-01-07,리프트,L.연일권 3일 ,Y,394
2024-01-07,리프트,L.연일권 4일 ,Y,33
2024-01-07,리프트,L.인바운드 3일,N,6
2024-01-07,리프트,리프트CL,N,5
2024-01-07,리프트,종일권(대인),Y,399
2024-01-07,리프트,종일권(소인),Y,36
2024-01-07,시즌티켓,X5 시즌패스 1차,N,34
2024-01-07,시즌티켓,X5 시즌패스 2차,N,15
2024-01-07,시즌티켓,X5 시즌패스 3차(현장),N,45
2024-01-08,리프트,3시간권(대인),N,1
2024-01-08,리프트,3시간권(대인),Y,256
2024-01-08,리프트,3시간권(소인),N,2
2024-01-08,리프트,3시간권(소인),Y,113
2024-01-08,리프트,4시간권(대인),N,1
2024-01-08,리프트,4시간권(대인),Y,247
2024-01-08,리프트,4시간권(소인),Y,56
2024-01-08,리프트,5시간권(대인),Y,166
2024-01-08,리프트,5시간권(소인),Y,40
2024-01-08,리프트,7시간권(대인),N,3
2024-01-08,리프트,7시간권(대인),Y,406
2024-01-08,리프트,7시간권(소인),N,1
2024-01-08,리프트,7시간권(소인),Y,58
2024-01-08,리프트,L.연일권 2일 ,Y,72
2024-01-08,리프트,L.연일권 3일 ,Y,1283
2024-01-08,리프트,L.연일권 4일 ,Y,186
2024-01-08,리프트,L.연일권 5일 ,Y,7
2024-01-08,리프트,L.인바운드 2일,N,9
2024-01-08,리프트,리프트CL,N,6
2024-01-08,리프트,종일권(대인),Y,355
2024-01-08,리프트,종일권(소인),N,2
2024-01-08,리프트,종일권(소인),Y,33
2024-01-08,시즌티켓,X5 시즌패스 1차,N,24
2024-01-08,시즌티켓,X5 시즌패스 2차,N,7
2024-01-08,시즌티켓,X5 시즌패스 3차(현장),N,25
2024-01-09,리프트,3시간권(대인),Y,182
2024-01-09,리프트,3시간권(소인),Y,87
2024-01-09,리프트,4시간권(대인),N,4
2024-01-09,리프트,4시간권(대인),Y,191
2024-01-09,리프트,4시간권(소인),Y,37
2024-01-09,리프트,5시간권(대인),Y,128
2024-01-09,리프트,5시간권(소인),Y,25
2024-01-09,리프트,7시간권(대인),Y,286
2024-01-09,리프트,7시간권(소인),Y,32
2024-01-09,리프트,L.연일권 2일 ,Y,94
2024-01-09,리프트,L.연일권 3일 ,Y,144
2024-01-09,리프트,L.연일권 4일 ,Y,354
2024-01-09,리프트,L.인바운드 2일,N,3
2024-01-09,리프트,L.인바운드 3일,N,4
2024-01-09,리프트,L.인바운드 3일,Y,1
2024-01-09,리프트,L.인바운드 4일,Y,15
2024-01-09,리프트,종일권(대인),N,4
2024-01-09,리프트,종일권(대인),Y,359
2024-01-09,리프트,종일권(소인),Y,30
2024-01-09,시즌티켓,X5 시즌패스 1차,N,16
2024-01-09,시즌티켓,X5 시즌패스 2차,N,8
2024-01-09,시즌티켓,X5 시즌패스 3차(현장),N,24
2024-01-10,리프트,3시간권(대인),N,3
2024-01-10,리프트,3시간권(대인),Y,182
2024-01-10,리프트,3시간권(소인),N,1
2024-01-10,리프트,3시간권(소인),Y,32
2024-01-10,리프트,4시간권(대인),N,5
2024-01-10,리프트,4시간권(대인),Y,188
2024-01-10,리프트,4시간권(소인),Y,41
2024-01-10,리프트,5시간권(대인),Y,124
2024-01-10,리프트,5시간권(소인),Y,26
2024-01-10,리프트,7시간권(대인),Y,365
2024-01-10,리프트,7시간권(소인),Y,35
2024-01-10,리프트,L.연일권 2일 ,Y,62
2024-01-10,리프트,L.연일권 3일 ,Y,412
2024-01-10,리프트,L.연일권 5일 ,Y,5
2024-01-10,리프트,L.인바운드 2일,N,3
2024-01-10,리프트,리프트CL,N,2
2024-01-10,리프트,종일권(대인),N,3
2024-01-10,리프트,종일권(대인),Y,383
2024-01-10,리프트,종일권(소인),Y,20
2024-01-10,시즌티켓,X5 시즌패스 1차,N,11
2024-01-10,시즌티켓,X5 시즌패스 2차,N,12
2024-01-10,시즌티켓,X5 시즌패스 3차(현장),N,13
2024-01-11,리프트,3시간권(대인),N,4
2024-01-11,리프트,3시간권(대인),Y,204
2024-01-11,리프트,3시간권(소인),Y,60
2024-01-11,리프트,4시간권(대인),N,5
2024-01-11,리프트,4시간권(대인),Y,251
2024-01-11,리프트,4시간권(소인),Y,47
2024-01-11,리프트,5시간권(대인),N,2
2024-01-11,리프트,5시간권(대인),Y,151
2024-01-11,리프트,5시간권(소인),N,2
2024-01-11,리프트,5시간권(소인),Y,29
2024-01-11,리프트,7시간권(대인),N,2
2024-01-11,리프트,7시간권(대인),Y,533
2024-01-11,리프트,7시간권(소인),N,2
2024-01-11,리프트,7시간권(소인),Y,43
2024-01-11,리프트,L.연일권 2일 ,Y,37
2024-01-11,리프트,L.연일권 3일 ,Y,285
2024-01-11,리프트,L.인바운드 2일,N,6
2024-01-11,리프트,리프트CL,N,3
2024-01-11,리프트,종일권(대인),Y,408
2024-01-11,리프트,종일권(소인),N,3
2024-01-11,리프트,종일권(소인),Y,28
2024-01-11,시즌티켓,X5 시즌패스 1차,N,18
2024-01-11,시즌티켓,X5 시즌패스 2차,N,8
2024-01-11,시즌티켓,X5 시즌패스 3차(현장),N,25
2024-01-12,리프트,3시간권(대인),N,4
2024-01-12,리프트,3시간권(대인),Y,344
2024-01-12,리프트,3시간권(소인),Y,91
2024-01-12,리프트,4시간권(대인),N,5
2024-01-12,리프트,4시간권(대인),Y,351
2024-01-12,리프트,4시간권(소인),Y,58
2024-01-12,리프트,5시간권(대인),N,6
2024-01-12,리프트,5시간권(대인),Y,184
2024-01-12,리프트,5시간권(소인),Y,25
2024-01-12,리프트,7시간권(대인),N,2
2024-01-12,리프트,7시간권(대인),Y,593
2024-01-12,리프트,7시간권(소인),Y,84
2024-01-12,리프트,L.연일권 2일 ,Y,78
2024-01-12,리프트,L.연일권 3일 ,Y,318
2024-01-12,리프트,종일권(대인),Y,533
2024-01-12,리프트,종일권(소인),Y,39
2024-01-12,시즌티켓,X5 시즌패스 1차,N,15
2024-01-12,시즌티켓,X5 시즌패스 2차,N,6
2024-01-12,시즌티켓,X5 시즌패스 3차(현장),N,24
2024-01-13,리프트,3시간권(대인),N,6
2024-01-13,리프트,3시간권(대인),Y,526
2024-01-13,리프트,3시간권(소인),Y,108
2024-01-13,리프트,4시간권(대인),N,17
2024-01-13,리프트,4시간권(대인),Y,835
2024-01-13,리프트,4시간권(소인),N,2
2024-01-13,리프트,4시간권(소인),Y,144
2024-01-13,리프트,5시간권(대인),N,5
2024-01-13,리프트,5시간권(대인),Y,564
2024-01-13,리프트,5시간권(소인),Y,72
2024-01-13,리프트,7시간권(대인),N,4
2024-01-13,리프트,7시간권(대인),Y,1275
2024-01-13,리프트,7시간권(소인),Y,95
2024-01-13,리프트,L.연일권 2일 ,Y,247
2024-01-13,리프트,L.연일권 3일 ,Y,156
2024-01-13,리프트,L.연일권 4일 ,Y,1
2024-01-13,리프트,L.인바운드 4일,N,10
2024-01-13,리프트,L.인바운드 4일,Y,2
2024-01-13,리프트,종일권(대인),N,3
2024-01-13,리프트,종일권(대인),Y,1146
2024-01-13,리프트,종일권(소인),N,2
2024-01-13,리프트,종일권(소인),Y,97
2024-01-13,시즌티켓,X5 시즌패스 1차,N,37
2024-01-13,시즌티켓,X5 시즌패스 2차,N,15
2024-01-13,시즌티켓,X5 시즌패스 3차(현장),N,44
2024-01-14,리프트,3시간권(대인),N,4
2024-01-14,리프트,3시간권(대인),Y,452
2024-01-14,리프트,3시간권(소인),Y,153
2024-01-14,리프트,4시간권(대인),N,6
2024-01-14,리프트,4시간권(대인),Y,517
2024-01-14,리프트,4시간권(소인),Y,91
2024-01-14,리프트,5시간권(대인),Y,283
2024-01-14,리프트,5시간권(소인),Y,55
2024-01-14,리프트,7시간권(대인),Y,534
2024-01-14,리프트,7시간권(소인),N,4
2024-01-14,리프트,7시간권(소인),Y,88
2024-01-14,리프트,L.연일권 2일 ,Y,172
2024-01-14,리프트,L.연일권 3일 ,Y,404
2024-01-14,리프트,L.연일권 4일 ,Y,8
2024-01-14,리프트,L.연일권 5일 ,Y,4
2024-01-14,리프트,L.인바운드 2일,N,11
2024-01-14,리프트,L.인바운드 2일,Y,2
2024-01-14,리프트,L.인바운드 3일,N,2
2024-01-14,리프트,L.인바운드 3일,Y,9
2024-01-14,리프트,리프트CL,N,3
2024-01-14,리프트,종일권(대인),Y,617
2024-01-14,리프트,종일권(소인),Y,57
2024-01-14,시즌티켓,X5 시즌패스 1차,N,25
2024-01-14,시즌티켓,X5 시즌패스 2차,N,15
2024-01-14,시즌티켓,X5 시즌패스 3차(현장),N,31
2024-01-15,리프트,3시간권(대인),N,2
2024-01-15,리프트,3시간권(대인),Y,275
2024-01-15,리프트,3시간권(소인),Y,86
2024-01-15,리프트,4시간권(대인),Y,316
2024-01-15,리프트,4시간권(소인),Y,71
2024-01-15,리프트,5시간권(대인),N,1
2024-01-15,리프트,5시간권(대인),Y,178
2024-01-15,리프트,5시간권(소인),Y,21
2024-01-15,리프트,7시간권(대인),Y,478
2024-01-15,리프트,7시간권(소인),Y,59
2024-01-15,리프트,L.연일권 2일 ,Y,106
2024-01-15,리프트,L.연일권 3일 ,Y,722
2024-01-15,리프트,L.연일권 4일 ,Y,135
2024-01-15,리프트,L.인바운드 2일,N,4
2024-01-15,리프트,L.인바운드 3일,Y,2
2024-01-15,리프트,L.인바운드 4일,Y,13
2024-01-15,리프트,종일권(대인),N,7
2024-01-15,리프트,종일권(대인),Y,506
2024-01-15,리프트,종일권(소인),Y,55
2024-01-15,시즌티켓,X5 시즌패스 1차,N,12
2024-01-15,시즌티켓,X5 시즌패스 2차,N,4
2024-01-15,시즌티켓,X5 시즌패스 3차(현장),N,18
2024-01-15,시즌티켓,온라인 스프링 대인 1차 (180),N,62
2024-01-15,시즌티켓,온라인 스프링 소인 1차 (180),N,8
2024-01-16,리프트,3시간권(대인),N,2
2024-01-16,리프트,3시간권(대인),Y,254
2024-01-16,리프트,3시간권(소인),Y,65
2024-01-16,리프트,4시간권(대인),Y,231
2024-01-16,리프트,4시간권(소인),Y,33
2024-01-16,리프트,5시간권(대인),Y,129
2024-01-16,리프트,5시간권(소인),Y,16
2024-01-16,리프트,7시간권(대인),Y,418
2024-01-16,리프트,7시간권(소인),Y,41
2024-01-16,리프트,L.연일권 2일 ,Y,14
2024-01-16,리프트,L.연일권 3일 ,Y,124
2024-01-16,리프트,L.연일권 4일 ,Y,333
2024-01-16,리프트,L.인바운드 2일,N,6
2024-01-16,리프트,L.인바운드 3일,Y,6
2024-01-16,리프트,종일권(대인),N,7
2024-01-16,리프트,종일권(대인),Y,390
2024-01-16,리프트,종일권(소인),Y,20
2024-01-16,시즌티켓,X5 시즌패스 1차,N,6
2024-01-16,시즌티켓,X5 시즌패스 2차,N,5
2024-01-16,시즌티켓,X5 시즌패스 3차(현장),N,5
2024-01-16,시즌티켓,온라인 스프링 대인 1차 (180),N,59
2024-01-16,시즌티켓,온라인 스프링 소인 1차 (180),N,4
2024-01-17,리프트,3시간권(대인),N,1
2024-01-17,리프트,3시간권(대인),Y,180
2024-01-17,리프트,3시간권(소인),Y,39
2024-01-17,리프트,4시간권(대인),Y,196
2024-01-17,리프트,4시간권(소인),Y,23
2024-01-17,리프트,5시간권(대인),N,1
2024-01-17,리프트,5시간권(대인),Y,140
2024-01-17,리프트,5시간권(소인),Y,17
2024-01-17,리프트,7시간권(대인),Y,341
2024-01-17,리프트,7시간권(소인),Y,52
2024-01-17,리프트,L.연일권 2일 ,Y,37
2024-01-17,리프트,L.연일권 3일 ,Y,247
2024-01-17,리프트,L.인바운드 2일,N,4
2024-01-17,리프트,종일권(대인),Y,415
2024-01-17,리프트,종일권(소인),Y,27
2024-01-17,시즌티켓,X5 시즌패스 1차,N,3
2024-01-17,시즌티켓,X5 시즌패스 3차(현장),N,14
2024-01-17,시즌티켓,온라인 스프링 대인 1차 (180),N,50
2024-01-17,시즌티켓,온라인 스프링 소인 1차 (180),N,3
2024-01-18,리프트,3시간권(대인),N,5
2024-01-18,리프트,3시간권(대인),Y,197
2024-01-18,리프트,3시간권(소인),Y,59
2024-01-18,리프트,4시간권(대인),N,1
2024-01-18,리프트,4시간권(대인),Y,248
2024-01-18,리프트,4시간권(소인),N,2
2024-01-18,리프트,4시간권(소인),Y,52
2024-01-18,리프트,5시간권(대인),N,5
2024-01-18,리프트,5시간권(대인),Y,140
2024-01-18,리프트,5시간권(소인),N,1
2024-01-18,리프트,5시간권(소인),Y,31
2024-01-18,리프트,7시간권(대인),Y,389
2024-01-18,리프트,7시간권(소인),Y,38
2024-01-18,리프트,L.연일권 2일 ,Y,113
2024-01-18,리프트,L.연일권 3일 ,Y,91
2024-01-18,리프트,L.인바운드 2일,N,6
2024-01-18,리프트,종일권(대인),Y,394
2024-01-18,리프트,종일권(소인),Y,30
2024-01-18,시즌티켓,X5 시즌패스 1차,N,4
2024-01-18,시즌티켓,X5 시즌패스 2차,N,2
2024-01-18,시즌티켓,X5 시즌패스 3차(현장),N,3
2024-01-18,시즌티켓,온라인 스프링 대인 1차 (180),N,59
2024-01-18,시즌티켓,온라인 스프링 소인 1차 (180),N,6
2024-01-19,리프트,3시간권(대인),N,2
2024-01-19,리프트,3시간권(대인),Y,413
2024-01-19,리프트,3시간권(소인),Y,102
2024-01-19,리프트,4시간권(대인),N,2
2024-01-19,리프트,4시간권(대인),Y,410
2024-01-19,리프트,4시간권(소인),Y,83
2024-01-19,리프트,5시간권(대인),N,1
2024-01-19,리프트,5시간권(대인),Y,202
2024-01-19,리프트,5시간권(소인),Y,30
2024-01-19,리프트,7시간권(대인),Y,547
2024-01-19,리프트,7시간권(소인),Y,72
2024-01-19,리프트,L.연일권 2일 ,Y,49
2024-01-19,리프트,L.연일권 3일 ,Y,120
2024-01-19,리프트,종일권(대인),N,8
2024-01-19,리프트,종일권(대인),Y,454
2024-01-19,리프트,종일권(소인),Y,42
2024-01-19,시즌티켓,X5 시즌패스 1차,N,8
2024-01-19,시즌티켓,X5 시즌패스 2차,N,4
2024-01-19,시즌티켓,X5 시즌패스 3차(현장),N,10
2024-01-19,시즌티켓,온라인 스프링 대인 1차 (180),N,70
2024-01-19,시즌티켓,온라인 스프링 소인 1차 (180),N,6
2024-01-20,리프트,3시간권(대인),N,13
2024-01-20,리프트,3시간권(대인),Y,544
2024-01-20,리프트,3시간권(소인),N,2
2024-01-20,리프트,3시간권(소인),Y,147
2024-01-20,리프트,4시간권(대인),N,6
2024-01-20,리프트,4시간권(대인),Y,777
2024-01-20,리프트,4시간권(소인),Y,107
2024-01-20,리프트,5시간권(대인),Y,587
2024-01-20,리프트,5시간권(소인),Y,84
2024-01-20,리프트,7시간권(대인),N,3
2024-01-20,리프트,7시간권(대인),Y,1394
2024-01-20,리프트,7시간권(소인),Y,134
2024-01-20,리프트,L.연일권 2일 ,Y,256
2024-01-20,리프트,L.연일권 3일 ,Y,16
2024-01-20,리프트,리프트CL,N,2
2024-01-20,리프트,종일권(대인),N,4
2024-01-20,리프트,종일권(대인),Y,1146
2024-01-20,리프트,종일권(소인),Y,53
2024-01-20,시즌티켓,X5 시즌패스 1차,N,18
2024-01-20,시즌티켓,X5 시즌패스 2차,N,6
2024-01-20,시즌티켓,X5 시즌패스 3차(현장),N,19
2024-01-20,시즌티켓,온라인 스프링 대인 1차 (180),N,34
2024-01-20,시즌티켓,온라인 스프링 소인 1차 (180),N,3
2024-01-20,시즌티켓,하이원스프링스키패스성인(250),N,1
2024-01-21,리프트,3시간권(대인),N,7
2024-01-21,리프트,3시간권(대인),Y,597
2024-01-21,리프트,3시간권(소인),N,2
2024-01-21,리프트,3시간권(소인),Y,205
2024-01-21,리프트,4시간권(대인),N,3
2024-01-21,리프트,4시간권(대인),Y,464
2024-01-21,리프트,4시간권(소인),N,2
2024-01-21,리프트,4시간권(소인),Y,99
2024-01-21,리프트,5시간권(대인),Y,256
2024-01-21,리프트,5시간권(소인),Y,65
2024-01-21,리프트,7시간권(대인),N,2
2024-01-21,리프트,7시간권(대인),Y,503
2024-01-21,리프트,7시간권(소인),Y,91
2024-01-21,리프트,L.연일권 2일 ,Y,122
2024-01-21,리프트,L.연일권 3일 ,Y,392
2024-01-21,리프트,L.연일권 5일 ,Y,4
2024-01-21,리프트,L.인바운드 2일,N,14
2024-01-21,리프트,L.인바운드 2일,Y,2
2024-01-21,리프트,L.인바운드 3일,Y,8
2024-01-21,리프트,L.인바운드 4일,Y,104
2024-01-21,리프트,종일권(대인),N,2
2024-01-21,리프트,종일권(대인),Y,414
2024-01-21,리프트,종일권(소인),Y,46
2024-01-21,시즌티켓,X5 시즌패스 1차,N,11
2024-01-21,시즌티켓,X5 시즌패스 2차,N,3
2024-01-21,시즌티켓,X5 시즌패스 3차(현장),N,11
2024-01-21,시즌티켓,온라인 스프링 대인 1차 (180),N,39
2024-01-21,시즌티켓,온라인 스프링 소인 1차 (180),N,12
2024-01-22,리프트,3시간권(대인),N,4
2024-01-22,리프트,3시간권(대인),Y,355
2024-01-22,리프트,3시간권(소인),Y,135
2024-01-22,리프트,4시간권(대인),N,2
2024-01-22,리프트,4시간권(대인),Y,185
2024-01-22,리프트,4시간권(소인),Y,47
2024-01-22,리프트,5시간권(대인),Y,166
2024-01-22,리프트,5시간권(소인),Y,35
2024-01-22,리프트,7시간권(대인),Y,414
2024-01-22,리프트,7시간권(소인),N,4
2024-01-22,리프트,7시간권(소인),Y,63
2024-01-22,리프트,L.연일권 2일 ,Y,130
2024-01-22,리프트,L.연일권 3일 ,Y,386
2024-01-22,리프트,L.연일권 4일 ,Y,197
2024-01-22,리프트,L.연일권 5일 ,Y,51
2024-01-22,리프트,종일권(대인),Y,393
2024-01-22,리프트,종일권(소인),Y,31
2024-01-22,시즌티켓,X5 시즌패스 1차,N,1
2024-01-22,시즌티켓,X5 시즌패스 2차,N,1
2024-01-22,시즌티켓,X5 시즌패스 3차(현장),N,3
2024-01-22,시즌티켓,온라인 스프링 대인 1차 (180),N,33
2024-01-22,시즌티켓,온라인 스프링 소인 1차 (180),N,1
2024-01-23,리프트,3시간권(대인),N,6
2024-01-23,리프트,3시간권(대인),Y,257
2024-01-23,리프트,3시간권(소인),Y,59
2024-01-23,리프트,4시간권(대인),Y,148
2024-01-23,리프트,4시간권(소인),Y,32
2024-01-23,리프트,5시간권(대인),Y,117
2024-01-23,리프트,5시간권(소인),Y,17
2024-01-23,리프트,7시간권(대인),Y,292
2024-01-23,리프트,7시간권(소인),Y,20
2024-01-23,리프트,L.연일권 2일 ,Y,57
2024-01-23,리프트,L.연일권 3일 ,Y,104
2024-01-23,리프트,L.연일권 4일 ,Y,266
2024-01-23,리프트,L.연일권 5일 ,Y,2
2024-01-23,리프트,L.인바운드 2일,N,2
2024-01-23,리프트,L.인바운드 3일,Y,24
2024-01-23,리프트,리프트CL,N,2
2024-01-23,리프트,종일권(대인),Y,221
2024-01-23,리프트,종일권(소인),Y,10
2024-01-23,시즌티켓,X5 시즌패스 1차,N,2
2024-01-23,시즌티켓,X5 시즌패스 2차,N,1
2024-01-23,시즌티켓,X5 시즌패스 3차(현장),N,3
2024-01-23,시즌티켓,온라인 스프링 대인 1차 (180),N,25
2024-01-23,시즌티켓,온라인 스프링 소인 1차 (180),N,4
2024-01-24,리프트,3시간권(대인),N,3
2024-01-24,리프트,3시간권(대인),Y,296
2024-01-24,리프트,3시간권(소인),Y,53
2024-01-24,리프트,4시간권(대인),Y,170
2024-01-24,리프트,4시간권(소인),Y,29
2024-01-24,리프트,5시간권(대인),Y,126
2024-01-24,리프트,5시간권(소인),N,2
2024-01-24,리프트,5시간권(소인),Y,22
2024-01-24,리프트,7시간권(대인),N,1
2024-01-24,리프트,7시간권(대인),Y,308
2024-01-24,리프트,7시간권(소인),Y,18
2024-01-24,리프트,L.연일권 2일 ,Y,120
2024-01-24,리프트,L.연일권 3일 ,Y,379
2024-01-24,리프트,L.연일권 4일 ,Y,3
2024-01-24,리프트,L.인바운드 2일,N,4
2024-01-24,리프트,종일권(대인),Y,278
2024-01-24,리프트,종일권(소인),Y,4
2024-01-24,시즌티켓,X5 시즌패스 1차,N,2
2024-01-24,시즌티켓,X5 시즌패스 2차,N,1
2024-01-24,시즌티켓,X5 시즌패스 3차(현장),N,3
